sections,schools,distance
418495946,7192497885,2407.1280000000006
1487935025,7192497885,1226.2496
1936301455,7192497885,1238.9720000000002
7117279899,7192497885,1041.528
3794235136,7192497885,1782.6264
5483069365,7192497885,871.3112000000001
7760745349,7192497885,2795.2728
6229421959,7192497885,1199.3352000000004
418495946,9954452655,2128.7656
1487935025,9954452655,1261.744
1936301455,9954452655,1426.5016
7117279899,9954452655,763.1656
3794235136,9954452655,1642.8543999999995
5483069365,9954452655,592.9487999999999
7760745349,9954452655,2830.7672
6229421959,9954452655,1059.5632
418495946,3652435613,2624.9872000000005
1487935025,3652435613,1757.9656000000002
1936301455,3652435613,2158.4944
7117279899,3652435613,779.0496
3794235136,3652435613,2139.076
5483069365,3652435613,1025.1072
7760745349,3652435613,3326.9888
6229421959,3652435613,1555.7848
418495946,1147347022,2841.8064000000004
1487935025,1147347022,1974.7848
1936301455,1147347022,2399.2383999999997
7117279899,1147347022,520.3088
3794235136,1147347022,2355.8952
5483069365,1147347022,1355.1023999999998
7760745349,1147347022,3543.807999999999
6229421959,1147347022,1772.604
418495946,3650626518,2870.2296000000006
1487935025,3650626518,2003.2080000000003
1936301455,3650626518,2427.6615999999995
7117279899,3650626518,717.6296
3794235136,3650626518,2384.3184
5483069365,3650626518,1383.5256
7760745349,3650626518,3572.2311999999997
6229421959,3650626518,1801.0272000000002
418495946,765126978,2823.5872000000004
1487935025,765126978,1956.5656000000004
1936301455,765126978,2381.0192
7117279899,765126978,670.9872
3794235136,765126978,2337.6760000000004
5483069365,765126978,1336.8832
7760745349,765126978,3525.5887999999995
6229421959,765126978,1754.3848000000005
418495946,3535202095,2740.8608000000004
1487935025,3535202095,1873.8392000000003
1936301455,3535202095,2298.2928
7117279899,3535202095,588.2608
3794235136,3535202095,2254.9496
5483069365,3535202095,1254.1568
7760745349,3535202095,3442.8624
6229421959,3535202095,1671.6584000000005
418495946,6054078572,2563.9936
1487935025,6054078572,1696.9720000000002
1936301455,6054078572,2121.4256
7117279899,6054078572,611.3936000000001
3794235136,6054078572,2078.0824
5483069365,6054078572,1077.2896
7760745349,6054078572,3265.9952
6229421959,6054078572,1494.7912
418495946,3580151731,3397.4864000000007
1487935025,3580151731,2530.4648000000007
1936301455,3580151731,2954.9184
7117279899,3580151731,1054.96
3794235136,3580151731,2911.5752
5483069365,3580151731,1910.7824
6229421959,3580151731,2328.284000000001
418495946,8280808443,2604.6144000000004
1936301455,8280808443,1575.2495999999996
7117279899,8280808443,1239.0144
3794235136,8280808443,856.1296000000002
5483069365,8280808443,1117.9103999999998
7760745349,8280808443,2160.7120000000004
418495946,11001925024,3535.7016000000003
1487935025,11001925024,2668.6800000000003
1936301455,11001925024,3093.1336
7117279899,11001925024,1118.5839999999998
3794235136,11001925024,3049.7904
5483069365,11001925024,2048.9976
6229421959,11001925024,2466.4992
418495946,7308542301,2573.4904
1487935025,7308542301,1706.4688
1936301455,7308542301,2130.9223999999995
7117279899,7308542301,130.56
3794235136,7308542301,2087.5792
5483069365,7308542301,1086.7864
7760745349,7308542301,3275.492
6229421959,7308542301,1504.288
418495946,7106531149,3083.0136
1487935025,7106531149,2215.992
1936301455,7106531149,2640.4456
7117279899,7106531149,772.4136
3794235136,7106531149,2597.1024
5483069365,7106531149,1596.3095999999998
6229421959,7106531149,2013.8112
418495946,5417047624,2990.0032
1487935025,5417047624,2122.9816
1936301455,5417047624,2547.4351999999994
7117279899,5417047624,679.4032
3794235136,5417047624,2504.092
5483069365,5417047624,1503.2992
6229421959,5417047624,1920.8008
418495946,8046493502,3252.8568000000005
1487935025,8046493502,2385.8352000000004
1936301455,8046493502,2810.2888
7117279899,8046493502,910.3304
3794235136,8046493502,2766.9456
5483069365,8046493502,1766.1527999999998
6229421959,8046493502,2183.6544000000004
418495946,5484446695,2830.2384
1487935025,5484446695,1963.2168
1936301455,5484446695,2387.6703999999995
7117279899,5484446695,487.712
3794235136,5484446695,2344.3272
5483069365,5484446695,1343.5344
7760745349,5484446695,3532.24
6229421959,5484446695,1761.036
418495946,3650467896,3194.6432000000004
1487935025,3650467896,2327.6216000000004
1936301455,3650467896,2752.0752
7117279899,3650467896,627.2816
3794235136,3650467896,2708.732
5483069365,3650467896,1707.9392
6229421959,3650467896,2125.4408000000003
418495946,2071373211,3108.7000000000003
1487935025,2071373211,2241.6784
1936301455,2071373211,2666.132
7117279899,2071373211,530.6895999999999
3794235136,2071373211,2622.7888000000003
5483069365,2071373211,1621.996
6229421959,2071373211,2039.4976
418495946,1628988354,2430.0960000000005
1487935025,1628988354,686.9720000000001
1936301455,1628988354,1508.2783999999992
7117279899,1628988354,1064.496
3794235136,1628988354,1078.8511999999998
5483069365,1628988354,943.3919999999998
7760745349,1628988354,2292.4912000000004
418495946,10996791917,2839.4264
1487935025,10996791917,2473.7960000000003
1936301455,10996791917,2898.2496
7117279899,10996791917,1090.8359999999998
3794235136,10996791917,2854.9064000000003
5483069365,10996791917,1772.4575999999995
6229421959,10996791917,2271.6152
418495946,768583145,2815.1808
1936301455,768583145,1891.1431999999995
7117279899,768583145,1449.5808
3794235136,768583145,830.4584
5483069365,768583145,1328.4768
7760745349,768583145,1964.3672000000008
418495946,3516888672,2096.4208
1487935025,3516888672,1675.3992000000003
1936301455,3516888672,2099.8528
7117279899,3516888672,1176.8208
3794235136,3516888672,2056.5096
5483069365,3516888672,1002.8392
7760745349,3516888672,3244.4224
6229421959,3516888672,1473.2184000000002
418495946,2334032900,2089.8296
1487935025,2334032900,1611.8176
1936301455,2334032900,2036.2711999999997
7117279899,2334032900,836.4392
3794235136,2334032900,1992.928
5483069365,2334032900,713.4096
7760745349,2334032900,3180.8408
6229421959,2334032900,1409.6368
418495946,2334032916,2177.8504000000003
1487935025,2334032916,1563.0248
1936301455,2334032916,1987.4783999999995
7117279899,2334032916,979.2768
3794235136,2334032916,1944.1352
5483069365,2334032916,664.6167999999999
7760745349,2334032916,3132.048
6229421959,2334032916,1360.844
418495946,6080701447,1994.7512
1487935025,6080701447,1573.7296
1936301455,6080701447,1998.1831999999995
7117279899,6080701447,1075.1511999999998
3794235136,6080701447,1954.84
5483069365,6080701447,901.1696
7760745349,6080701447,3142.7528
6229421959,6080701447,1371.5488
418495946,3553619813,2319.7000000000003
7117279899,3553619813,2432.2016000000003
5483069365,3553619813,3212.4584
